PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, NYBA
Station name, NYBA_KIVU_RW2022
Begin Date, 2022-08-06
End Date, 2023-07-16
Release Date, 2023-09-23
Source file, NYBA.cwu.igs14.pos
Offset from source file, -244.53 mm North, 22.88 mm East, 0.82 mm Vertical
Reference position, -1.7623764188 North Latitude, 29.3496480143 East Longitude, 2248.86794 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-12-01,6.16, 6.40, 1.34, 3.4, 3.46, 7.45, suppf,
2022-12-02,12.62, 4.60, 4.11, 3.24, 3.29, 7.36, suppf,
2022-12-03,8.34, 1.42, -3.85, 3.27, 3.34, 7.34, suppf,
2022-12-04,7.74, 2.32, 0.87, 3.19, 3.24, 7.38, suppf,
2022-12-05,13.02, 0.46, 1.40, 3.13, 3.2, 7.38, suppf,
2022-12-06,7.28, 7.01, -8.05, 3.13, 3.2, 7.48, suppf,
2022-12-07,11.98, -5.71, 5.54, 3.28, 3.33, 7.46, suppf,
2022-12-08,7.02, 3.75, 4.72, 3.26, 3.34, 7.42, suppf,
2022-12-09,6.61, -1.31, -0.76, 3.14, 3.21, 7.36, suppf,
2022-12-10,12.22, 2.61, -1.08, 3.32, 3.39, 7.4, suppf,
2022-12-11,13.44, 6.41, 5.54, 3.21, 3.27, 7.35, suppf,
2022-12-12,9.10, 11.51, 0.81, 3.25, 3.32, 7.39, suppf,
2022-12-13,8.29, 6.80, -0.87, 3.16, 3.23, 7.5, suppf,
2022-12-14,5.38, 8.97, -9.28, 3.26, 3.32, 7.58, suppf,
2022-12-15,5.13, -0.37, 4.90, 3.21, 3.28, 7.51, suppf,
2022-12-16,1.79, -3.41, -11.57, 3.34, 3.42, 7.56, suppf,
2022-12-17,10.25, 3.55, 1.12, 3.36, 3.43, 7.36, suppf,
2022-12-18,5.75, 0.34, 0.21, 3.41, 3.47, 7.55, suppf,
2022-12-19,5.31, 3.92, -9.29, 3.49, 3.53, 7.4, suppf,
2022-12-20,13.06, 2.95, 3.77, 3.43, 3.48, 7.59, suppf,
2022-12-21,8.98, 0.88, 1.15, 3.51, 3.55, 7.53, suppf,
2022-12-22,8.76, -0.32, 8.37, 3.5, 3.56, 7.52, suppf,
2022-12-23,8.38, 3.68, -6.08, 3.63, 3.68, 7.43, suppf,
2022-12-24,2.52, -2.72, -5.66, 3.75, 3.79, 7.47, suppf,
2022-12-25,10.88, 5.90, -9.04, 3.63, 3.68, 7.42, suppf,
2022-12-26,6.75, 7.78, -18.69, 3.47, 3.53, 7.52, suppf,
2022-12-27,-1.04, 5.09, -1.04, 3.64, 3.71, 7.71, suppf,
2022-12-28,8.12, 12.76, -7.26, 3.42, 3.52, 7.79, suppf,
2022-12-29,14.75, 9.08, -6.71, 3.31, 3.38, 7.37, suppf,
2022-12-30,11.81, 7.84, -0.77, 3.37, 3.42, 7.41, suppf,
2022-12-31,0.35, 5.24, -2.78, 3.38, 3.44, 7.6, suppf,
2023-01-01,0.69, -0.84, -3.69, 3.39, 3.46, 7.42, suppf,
2023-01-02,1.86, 3.21, -2.96, 3.27, 3.35, 7.44, suppf,
2023-01-03,1.78, -3.26, 0.36, 3.33, 3.41, 7.51, suppf,
2023-01-04,6.38, 4.55, -4.90, 3.41, 3.47, 7.37, suppf,
2023-01-05,3.86, 0.63, 1.75, 3.33, 3.41, 7.41, suppf,
2023-01-06,4.00, -4.34, -0.09, 3.34, 3.42, 7.4, suppf,
2023-01-07,7.12, 5.10, 1.77, 3.27, 3.36, 7.35, suppf,
2023-01-08,5.35, 3.55, -3.71, 3.29, 3.38, 7.43, suppf,
2023-01-09,7.11, 7.97, -11.35, 3.26, 3.36, 7.5, suppf,
2023-01-10,10.22, 8.99, 3.76, 3.31, 3.38, 7.55, suppf,
2023-01-11,9.78, 8.18, 1.42, 3.34, 3.4, 7.61, suppf,
2023-01-12,18.68, 8.66, 3.80, 3.42, 3.48, 7.42, suppf,
2023-01-13,14.44, 10.27, 4.20, 3.5, 3.55, 7.42, suppf,
2023-01-14,12.47, 10.32, 6.84, 3.28, 3.35, 7.48, suppf,
2023-01-15,11.27, 15.42, -3.06, 3.34, 3.37, 7.43, suppf,
2023-01-16,11.74, 8.23, 0.01, 3.37, 3.43, 7.37, suppf,
2023-01-17,6.71, 11.97, -11.93, 3.31, 3.38, 7.37, suppf,
2023-01-18,7.15, 6.73, 8.77, 3.38, 3.42, 7.49, suppf,
2023-01-19,5.74, 12.47, 5.90, 3.44, 3.5, 7.61, suppf,
2023-01-20,8.98, 6.54, -0.32, 3.35, 3.41, 7.6, suppf,
2023-01-21,4.01, 4.06, -2.62, 3.47, 3.52, 7.7, suppf,
2023-01-22,8.87, 8.42, -5.49, 3.37, 3.42, 7.77, suppf,
2023-01-23,9.51, 9.87, 2.47, 3.44, 3.5, 7.81, suppf,
2023-01-24,8.95, 11.74, -2.86, 3.36, 3.42, 7.5, suppf,
2023-01-25,11.05, 12.06, 0.46, 3.78, 3.85, 7.77, suppf,
2023-01-26,5.75, 15.69, -6.75, 3.58, 3.63, 8.02, suppf,
2023-01-27,3.80, 7.83, -6.86, 3.46, 3.51, 7.6, suppf,
2023-01-28,5.01, 11.70, 2.44, 3.42, 3.48, 7.58, suppf,
2023-01-29,5.56, 15.93, -13.55, 3.4, 3.46, 7.86, suppf,
2023-01-30,6.82, 11.74, 2.46, 3.4, 3.45, 7.84, suppf,
2023-01-31,7.62, 12.36, 4.22, 3.52, 3.57, 7.71, suppf,
2023-02-01,5.51, 15.71, -10.03, 3.48, 3.54, 7.7, suppf,
2023-02-02,1.48, 13.84, -4.72, 3.62, 3.67, 7.93, suppf,
2023-02-03,11.11, 12.14, -3.29, 3.51, 3.57, 7.97, suppf,
2023-02-04,6.60, 10.45, -4.64, 3.45, 3.51, 7.59, suppf,
2023-02-05,8.75, 16.90, 5.37, 3.46, 3.53, 7.63, suppf,
2023-02-06,10.72, 16.48, 0.66, 3.54, 3.59, 7.6, suppf,
2023-02-07,9.29, 13.04, 1.26, 3.46, 3.5, 7.52, suppf,
2023-02-08,7.53, 10.56, -5.45, 3.4, 3.45, 7.53, suppf,
2023-02-09,6.50, 12.14, -7.59, 3.21, 3.25, 7.54, suppf,
2023-02-10,2.12, 12.97, -1.75, 3.5, 3.55, 7.7, suppf,
2023-02-11,7.75, 20.85, -10.68, 3.38, 3.42, 7.51, suppf,
2023-02-12,13.18, 11.08, 5.32, 3.34, 3.38, 8.03, suppf,
2023-02-13,9.44, 20.15, -4.45, 3.45, 3.54, 7.65, suppf,
2023-02-14,5.45, 15.06, -1.03, 3.4, 3.48, 7.59, suppf,
2023-02-15,7.03, 7.91, 4.72, 3.56, 3.57, 7.66, suppf,
2023-02-16,12.38, 11.28, -5.39, 3.4, 3.47, 7.65, suppf,
2023-02-17,14.29, 14.59, 5.56, 3.43, 3.52, 8.02, suppf,
2023-02-18,11.88, 16.15, -0.21, 3.21, 3.27, 7.58, suppf,
2023-02-19,3.40, 7.40, 0.26, 3.34, 3.41, 7.59, suppf,
2023-02-20,7.63, 19.81, 11.95, 3.37, 3.42, 8.03, suppf,
2023-02-21,8.57, 8.67, 2.18, 3.34, 3.4, 7.62, suppf,
2023-02-22,8.45, 17.53, -0.68, 3.19, 3.25, 7.54, suppf,
2023-02-23,1.01, 8.54, -4.45, 3.49, 3.54, 7.69, suppf,
2023-02-24,10.80, 18.18, -3.58, 3.21, 3.3, 7.82, suppf,
2023-02-25,11.27, 21.97, -16.66, 3.47, 3.51, 7.52, suppf,
2023-02-26,11.73, 14.18, 8.84, 3.52, 3.57, 7.5, suppf,
2023-02-27,18.48, 15.37, -13.13, 3.49, 3.53, 7.63, suppf,
2023-02-28,15.58, 14.68, 0.42, 3.19, 3.24, 7.65, suppf,
2023-03-01,12.35, 11.85, -1.64, 3.11, 3.18, 7.56, suppf,
2023-03-02,13.58, 6.21, 7.77, 3.35, 3.41, 7.66, suppf,
2023-03-03,13.11, 9.34, -5.30, 3.38, 3.43, 7.51, suppf,
2023-03-04,7.32, 10.63, -1.13, 3.31, 3.37, 7.65, suppf,
2023-03-05,8.89, 6.49, 4.73, 3.51, 3.54, 7.74, suppf,
2023-03-06,15.09, 10.37, 7.13, 3.43, 3.48, 7.77, suppf,
2023-03-07,14.33, 17.59, 15.53, 3.37, 3.43, 7.83, suppf,
2023-03-08,12.50, 15.58, 3.35, 3.57, 3.64, 8.04, suppf,
2023-03-09,11.42, 2.84, 13.11, 3.58, 3.63, 8.06, suppf,
2023-03-10,15.17, 12.52, 11.92, 3.36, 3.44, 7.85, suppf,
2023-03-11,13.59, 10.33, 12.35, 3.17, 3.3, 8.11, suppf,
2023-03-12,16.94, 12.79, -2.51, 3.22, 3.29, 7.5, suppf,
2023-03-13,21.10, 18.12, 10.10, 3.35, 3.46, 8.22, suppf,
2023-03-14,19.50, 15.03, 2.23, 3.47, 3.52, 7.64, suppf,
2023-03-15,13.01, 14.22, 2.74, 3.33, 3.37, 7.48, suppf,
2023-03-16,6.74, 6.69, 3.27, 3.08, 3.19, 7.93, suppf,
2023-03-17,14.31, -0.32, -0.77, 3.07, 3.17, 7.74, suppf,
2023-03-18,16.83, 5.07, 4.95, 3.12, 3.23, 7.96, suppf,
2023-03-19,15.01, 13.01, 4.05, 3.26, 3.36, 7.78, suppf,
