PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-11-29,9.67, 12.31, 8.99, 3.21, 3.19, 8.53, suppf,
2022-11-30,18.27, 1.16, 3.53, 3.44, 3.43, 8.49, suppf,
2022-12-01,7.74, 14.76, 6.43, 3.53, 3.55, 8.75, suppf,
2022-12-02,18.80, 13.81, 3.49, 3.39, 3.37, 8.66, suppf,
2022-12-03,11.30, 6.94, 4.69, 3.41, 3.41, 8.48, suppf,
2022-12-04,13.07, 11.33, 0.77, 3.34, 3.33, 8.63, suppf,
2022-12-05,17.19, 4.66, 9.39, 3.28, 3.27, 8.57, suppf,
2022-12-06,14.96, 12.14, -9.58, 3.28, 3.25, 8.62, suppf,
2022-12-07,17.64, 0.67, -1.00, 3.44, 3.43, 8.9, suppf,
2022-12-08,11.83, 11.46, -7.69, 3.42, 3.42, 8.86, suppf,
2022-12-09,11.11, 5.87, 8.01, 3.27, 3.28, 8.44, suppf,
2022-12-10,16.85, 9.73, 3.34, 3.44, 3.45, 8.51, suppf,
2022-12-11,17.17, 11.19, 6.05, 3.36, 3.35, 8.74, suppf,
2022-12-12,12.08, 16.68, 9.04, 3.42, 3.46, 9.13, suppf,
2022-12-13,14.21, 14.19, -10.78, 3.32, 3.31, 8.84, suppf,
2022-12-14,10.11, 15.59, 5.53, 3.4, 3.39, 8.79, suppf,
2022-12-15,8.76, 7.10, -10.61, 3.36, 3.37, 8.9, suppf,
2022-12-16,9.57, 3.42, -4.16, 3.51, 3.5, 9.07, suppf,
2022-12-17,14.43, 10.97, 4.54, 3.51, 3.52, 8.7, suppf,
2022-12-18,12.16, 9.69, 4.84, 3.56, 3.55, 9.03, suppf,
