PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, RUBO
Station name, RUBO_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-27
Release Date, 2023-09-28
Source file, RUBO.cwu.igs14.pos
Offset from source file, -243.94 mm North, 22.07 mm East, 0.95 mm Vertical
Reference position, -1.7280349874 North Latitude, 29.2559456217 East Longitude, 1464.99799 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-01-15,11.83, 13.96, -8.68, 3.37, 3.56, 8.4, suppf,
2023-01-16,14.16, 1.93, -2.88, 3.41, 3.63, 8.5, suppf,
2023-01-17,8.54, 3.63, -10.55, 3.36, 3.57, 8.45, suppf,
2023-01-18,9.52, 1.08, -10.33, 3.42, 3.58, 8.58, suppf,
2023-01-19,7.03, 9.50, -19.37, 3.48, 3.69, 8.62, suppf,
2023-01-20,11.64, 1.25, 6.11, 3.38, 3.63, 8.68, suppf,
2023-01-21,4.29, -0.41, 2.78, 3.51, 3.71, 8.71, suppf,
2023-01-22,10.68, 5.26, -10.71, 3.42, 3.66, 8.93, suppf,
2023-01-23,12.01, 7.07, -5.79, 3.48, 3.7, 8.85, suppf,
2023-01-24,10.56, 7.28, -5.52, 3.42, 3.64, 8.85, suppf,
2023-01-25,14.98, 2.93, -8.10, 3.82, 4.06, 8.99, suppf,
2023-01-26,8.91, 5.24, -3.73, 3.62, 3.85, 9.1, suppf,
2023-01-27,7.46, 3.47, -4.13, 3.51, 3.75, 8.95, suppf,
2023-01-28,6.42, 9.55, -8.18, 3.46, 3.68, 8.66, suppf,
2023-01-29,7.54, 11.42, -14.47, 3.46, 3.67, 8.97, suppf,
2023-01-30,8.17, 8.06, -20.86, 3.46, 3.67, 9.15, suppf,
2023-01-31,9.96, 5.56, -8.59, 3.57, 3.74, 8.82, suppf,
2023-02-01,7.05, 11.57, -13.72, 3.53, 3.72, 8.86, suppf,
2023-02-02,3.95, 10.32, -2.57, 3.66, 3.88, 9.11, suppf,
2023-02-03,14.02, 9.05, -11.15, 3.54, 3.75, 9.08, suppf,
2023-02-04,9.44, 4.64, -17.11, 3.49, 3.71, 8.76, suppf,
2023-02-05,11.45, 11.85, -13.47, 3.51, 3.69, 8.8, suppf,
2023-02-06,13.85, 9.89, -5.59, 3.59, 3.78, 8.73, suppf,
2023-02-07,12.32, 7.87, -8.57, 3.5, 3.66, 8.52, suppf,
2023-02-08,7.06, 6.64, -0.85, 3.46, 3.65, 8.83, suppf,
2023-02-09,7.78, 8.99, -18.24, 3.24, 3.44, 8.54, suppf,
2023-02-10,6.18, 4.82, -13.44, 3.57, 3.76, 8.94, suppf,
2023-02-11,10.05, 14.91, -18.57, 3.42, 3.61, 8.5, suppf,
2023-02-12,15.27, 6.14, -14.00, 3.38, 3.58, 9.19, suppf,
2023-02-13,10.13, 15.43, -3.61, 3.51, 3.74, 8.89, suppf,
2023-02-14,7.35, 8.25, -18.93, 3.47, 3.71, 8.92, suppf,
2023-02-15,10.39, 2.23, -11.17, 3.61, 3.75, 8.84, suppf,
2023-02-16,13.07, 2.69, -5.94, 3.46, 3.66, 8.67, suppf,
2023-02-17,16.54, 5.89, 2.54, 3.49, 3.69, 8.99, suppf,
2023-02-18,15.04, 9.41, 8.30, 3.26, 3.46, 8.67, suppf,
2023-02-19,5.07, 2.92, 0.29, 3.38, 3.58, 8.69, suppf,
2023-02-20,11.96, 13.16, -12.30, 3.42, 3.64, 9.23, suppf,
2023-02-21,11.21, 2.16, -9.10, 3.4, 3.6, 8.87, suppf,
2023-02-22,11.28, 9.41, -1.43, 3.24, 3.43, 8.64, suppf,
2023-02-23,4.11, 2.83, -9.18, 3.52, 3.71, 8.67, suppf,
2023-02-24,7.33, 10.77, -6.22, 3.28, 3.47, 8.89, suppf,
2023-02-25,12.39, 17.17, -22.09, 3.51, 3.67, 8.62, suppf,
2023-02-26,16.16, 7.25, -3.97, 3.57, 3.75, 8.57, suppf,
2023-02-27,17.84, 8.04, -12.37, 3.54, 3.7, 8.75, suppf,
2023-02-28,17.24, 9.67, -6.31, 3.23, 3.41, 8.66, suppf,
2023-03-01,15.58, 6.18, -11.38, 3.15, 3.34, 8.57, suppf,
2023-03-02,17.21, 1.01, -10.97, 3.42, 3.6, 8.89, suppf,
2023-03-03,14.58, 4.37, -3.05, 3.42, 3.6, 8.53, suppf,
2023-03-04,8.60, 2.62, -0.47, 3.36, 3.53, 8.72, suppf,
2023-03-05,9.55, 2.53, -3.88, 3.55, 3.73, 8.81, suppf,
2023-03-06,19.45, 5.51, -8.16, 3.47, 3.65, 8.86, suppf,
2023-03-07,18.34, 12.10, 0.73, 3.4, 3.58, 8.7, suppf,
2023-03-08,16.53, 9.83, -5.60, 3.63, 3.82, 9.09, suppf,
2023-03-09,13.24, -8.06, 10.97, 3.63, 3.83, 9.3, suppf,
2023-03-10,14.57, 7.20, -3.05, 3.42, 3.62, 9.16, suppf,
2023-03-11,15.37, 2.79, -0.76, 3.23, 3.48, 9.19, suppf,
2023-03-12,17.77, 5.83, -10.50, 3.27, 3.45, 8.55, suppf,
2023-03-13,23.47, 11.34, -8.56, 3.41, 3.62, 9.33, suppf,
