PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KANZ
Station name, kanz_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KANZ.cwu.igs14.pos
Offset from source file, -243.29 mm North, 22.75 mm East, 8.01 mm Vertical
Reference position, -1.6463465815 North Latitude, 29.3781144963 East Longitude, 2299.33814 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-12-16,4.46, -2.55, 1.47, 3.34, 3.4, 7.46, suppf,
2022-12-17,13.12, 5.18, -2.37, 3.36, 3.41, 7.24, suppf,
2022-12-18,7.22, 4.59, -1.67, 3.4, 3.45, 7.51, suppf,
2022-12-19,6.00, 4.76, -0.07, 3.48, 3.51, 7.24, suppf,
2022-12-20,13.98, 4.79, 10.60, 3.42, 3.46, 7.51, suppf,
2022-12-21,10.83, 1.57, 1.38, 3.5, 3.53, 7.42, suppf,
2022-12-22,9.66, -0.52, 4.22, 3.49, 3.53, 7.36, suppf,
2022-12-23,10.47, 6.21, -1.12, 3.62, 3.66, 7.3, suppf,
2022-12-24,4.49, -0.89, -7.14, 3.75, 3.78, 7.38, suppf,
2022-12-25,12.00, 6.71, -9.22, 3.62, 3.68, 7.44, suppf,
2022-12-26,6.71, 8.78, -6.14, 3.46, 3.51, 7.4, suppf,
2022-12-27,3.38, 8.08, 1.60, 3.63, 3.69, 7.56, suppf,
2022-12-28,9.72, 9.93, -8.31, 3.42, 3.51, 7.71, suppf,
2022-12-29,15.81, 9.34, 0.75, 3.31, 3.36, 7.26, suppf,
2022-12-30,14.33, 11.08, -3.81, 3.36, 3.4, 7.29, suppf,
2022-12-31,2.41, 2.62, 5.80, 3.36, 3.43, 7.43, suppf,
2023-01-01,0.95, -2.92, 2.90, 3.38, 3.44, 7.35, suppf,
2023-01-02,2.82, 2.90, -4.87, 3.26, 3.34, 7.4, suppf,
2023-01-03,5.82, -3.91, 3.99, 3.33, 3.41, 7.44, suppf,
2023-01-04,4.44, 2.21, -6.23, 3.42, 3.47, 7.42, suppf,
2023-01-05,3.23, 1.49, 9.34, 3.33, 3.4, 7.43, suppf,
2023-01-06,5.59, -4.22, 10.17, 3.33, 3.39, 7.27, suppf,
2023-01-07,9.13, 6.22, 8.30, 3.26, 3.33, 7.24, suppf,
2023-01-08,6.86, 4.09, 8.23, 3.27, 3.36, 7.29, suppf,
2023-01-09,8.80, 10.38, -2.39, 3.25, 3.34, 7.44, suppf,
2023-01-10,10.24, 8.84, 0.49, 3.29, 3.35, 7.37, suppf,
2023-01-11,11.71, 8.56, 5.57, 3.32, 3.38, 7.49, suppf,
2023-01-12,21.31, 8.88, 5.57, 3.41, 3.46, 7.34, suppf,
2023-01-13,14.37, 10.86, 1.34, 3.5, 3.54, 7.42, suppf,
2023-01-14,16.35, 8.07, 7.38, 3.28, 3.34, 7.44, suppf,
2023-01-15,10.12, 16.98, 4.01, 3.33, 3.35, 7.25, suppf,
2023-01-16,13.13, 7.98, 2.15, 3.37, 3.41, 7.32, suppf,
