PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, IWAW.cwu.igs14.pos
Offset from source file, -242.43 mm North, 23.82 mm East, 5.38 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-03-16,14.24, 2.51, 9.41, 3.18, 3.32, 9.11, suppf,
2023-03-17,18.86, -7.54, 21.25, 3.17, 3.27, 8.79, suppf,
2023-03-18,20.76, 1.63, 9.55, 3.22, 3.35, 9.07, suppf,
2023-03-19,17.92, 3.12, 15.61, 3.36, 3.51, 9.3, suppf,
2023-03-20,15.38, -0.02, 13.51, 3.23, 3.31, 8.51, suppf,
2023-03-21,14.71, 4.06, 16.99, 3.29, 3.37, 8.72, suppf,
2023-03-22,13.53, 9.43, 6.84, 3.31, 3.4, 9.27, suppf,
2023-03-23,15.08, 5.90, 6.34, 3.34, 3.4, 8.51, suppf,
2023-03-24,12.01, 5.13, 5.58, 3.46, 3.53, 8.38, suppf,
2023-03-25,13.47, 0.58, 14.20, 3.43, 3.5, 8.82, suppf,
2023-03-26,13.60, 2.25, -7.69, 3.28, 3.39, 9.26, suppf,
2023-03-27,14.04, 0.02, 12.86, 3.32, 3.47, 9.32, suppf,
2023-03-28,16.60, 1.06, 17.34, 3.13, 3.24, 8.54, suppf,
2023-03-29,20.85, 6.72, 17.67, 3.56, 3.6, 9.29, suppf,
2023-03-30,10.79, -4.64, 24.54, 3.4, 3.4, 8.81, suppf,
2023-03-31,18.46, 1.88, 10.73, 3.5, 3.56, 8.7, suppf,
2023-04-01,16.93, 8.05, 4.89, 3.46, 3.54, 8.6, suppf,
2023-04-02,11.35, 0.18, 13.28, 3.44, 3.56, 9.15, suppf,
2023-04-03,13.62, 2.39, 12.37, 3.29, 3.41, 9.07, suppf,
2023-04-04,12.98, -1.64, 16.29, 3.36, 3.5, 9.62, suppf,
2023-04-05,17.21, -2.25, 22.51, 3.27, 3.41, 9.37, suppf,
2023-04-06,18.20, 3.54, 8.10, 3.5, 3.59, 9.69, suppf,
2023-04-07,17.50, 5.57, 15.41, 3.48, 3.6, 9.46, suppf,
2023-04-08,16.10, 2.20, 23.57, 3.15, 3.35, 9.53, suppf,
2023-04-09,18.50, 0.09, 10.79, 3.17, 3.31, 9.19, suppf,
2023-04-10,10.84, 0.45, 12.78, 3.35, 3.41, 9.18, suppf,
2023-04-11,11.62, 7.29, 11.72, 3.32, 3.44, 9.64, suppf,
2023-04-12,19.23, 7.84, 10.48, 3.38, 3.47, 9.18, suppf,
2023-04-13,18.33, 3.71, 15.06, 3.36, 3.52, 10.15, suppf,
2023-04-14,16.94, 7.39, 5.64, 3.38, 3.49, 9.55, suppf,
2023-04-15,14.23, 7.01, 9.79, 3.3, 3.35, 9.92, suppf,
2023-04-16,14.97, 5.14, 13.73, 3.3, 3.39, 9.42, suppf,
2023-04-17,16.42, -0.42, 17.82, 3.37, 3.48, 9.42, suppf,
2023-04-18,17.16, 9.02, 2.54, 3.3, 3.38, 9.28, suppf,
2023-04-19,11.02, 5.83, 9.53, 3.27, 3.34, 8.55, suppf,
2023-04-20,8.83, -2.36, 19.43, 3.4, 3.47, 9.59, suppf,
2023-04-21,16.41, 0.04, 30.02, 3.3, 3.4, 8.99, suppf,
2023-04-22,11.92, 1.35, 17.12, 3.27, 3.35, 9.39, suppf,
2023-04-23,14.95, -0.71, 8.02, 3.17, 3.23, 8.82, suppf,
2023-04-24,20.48, 5.48, 0.86, 3.08, 3.16, 8.43, suppf,
2023-04-25,12.49, 2.77, 4.93, 3.1, 3.15, 8.85, suppf,
2023-04-26,16.29, 6.32, 9.73, 3.12, 3.15, 9.09, suppf,
2023-04-27,16.21, 7.40, 15.69, 3.19, 3.27, 8.69, suppf,
2023-04-28,19.24, -1.67, 24.05, 3.12, 3.17, 8.99, suppf,
2023-04-29,18.46, 2.22, 1.40, 3.15, 3.24, 8.92, suppf,
2023-04-30,18.68, 2.04, 5.13, 3.23, 3.29, 9.33, suppf,
2023-05-01,16.33, 3.88, 10.88, 3.15, 3.21, 8.92, suppf,
2023-05-02,10.78, 2.32, 8.27, 3.33, 3.36, 9.27, suppf,
2023-05-03,10.90, 6.49, 19.43, 3.11, 3.18, 9.04, suppf,
2023-05-04,13.92, 6.67, 13.50, 3.12, 3.17, 9.23, suppf,
2023-05-05,10.69, 6.10, 13.13, 3.1, 3.19, 9.04, suppf,
2023-05-06,16.99, 10.11, 6.34, 3.04, 3.11, 8.63, suppf,
2023-05-07,15.08, 3.68, 5.17, 3.05, 3.12, 8.52, suppf,
2023-05-08,13.32, 0.19, 7.12, 3.07, 3.15, 8.39, suppf,
2023-05-09,6.65, 2.05, 3.62, 3.38, 3.46, 9.39, suppf,
2023-05-10,6.78, 5.01, 8.99, 3.22, 3.37, 9.48, suppf,
2023-05-11,14.40, 6.70, 9.53, 3.05, 3.17, 8.8, suppf,
2023-05-12,9.49, 0.11, 11.84, 3.11, 3.19, 8.61, suppf,
2023-05-13,10.69, 0.94, 14.93, 3.31, 3.34, 9.37, suppf,
2023-05-14,11.49, 5.97, 10.77, 3.22, 3.3, 8.98, suppf,
2023-05-15,15.63, 6.58, -0.04, 3.23, 3.31, 9.26, suppf,
2023-05-16,15.63, 11.15, 15.33, 3.31, 3.38, 9.38, suppf,
2023-05-17,11.83, 12.23, -17.86, 3.18, 3.29, 9.45, suppf,
2023-05-18,12.78, 11.35, 9.39, 3.21, 3.34, 9.41, suppf,
