> -L"kivu_presumed_faults_right"
29.0627488087	-1.74311392929
29.0711130679	-1.73136415731
29.0785730828	-1.71984027174
29.0837724872	-1.7089941982
29.0880676473	-1.7013115257
29.0885197694	-1.69859998691
29.0937191738	-1.69475863379
29.1002749445	-1.6882057197
29.1057004099	-1.68300856523
29.1106737532	-1.67509982535
> -L"253ft"
29.2402067399	-2.06575038647
29.2390764346	-2.05648787951
29.2352333966	-2.04677348518
29.2338770302	-2.03751086833
29.2365897629	-2.02644084174
29.240884923	-2.01627442411
29.2422412894	-2.01062638686
29.2411109841	-1.99910433031
29.2388503735	-1.98487109003
29.2397546177	-1.97357478032
29.2445019	-1.96453767727
29.2458582663	-1.95617831342
29.2499273654	-1.94804483834
29.2515097928	-1.93900759775
29.2512837317	-1.92703317967
29.2512837317	-1.91189558732
29.2469885716	-1.89856535811
> -L"12ft"
29.1605202166	-1.64143083442
29.1663978042	-1.63476475854
29.1725014528	-1.6277597058
29.1788311624	-1.61985074604
29.1839175362	-1.612167727
29.1874214826	-1.60572752693
29.1911514901	-1.59951327955
29.194542406	-1.59488082835
29.1995157493	-1.58776265131
29.2039239399	-1.57872366102
29.2086712222	-1.57058853616
29.2171485119	-1.56290533359
> -L"580ft"
28.8450520091	-2.10268691736
28.8435826122	-2.09692623116
28.8430174596	-2.09206916553
28.8430174596	-2.08382341504
28.8430174596	-2.07591649046
28.844599887	-2.06823544013
28.8457301923	-2.05976365032
28.8467474671	-2.0495974431
28.8481038334	-2.04078667795
28.8521729325	-2.03163698612
28.8589547642	-2.02056691932
28.8616109817	-2.016048503
28.8666973555	-2.00904493292
> -L"50ft"
29.1286456074	-1.62821164542
29.1309062179	-1.62098059933
29.134975317	-1.61465341281
29.1399486603	-1.60810023458
29.1458262478	-1.60222495345
29.1526080796	-1.59747952177
29.1609723388	-1.59137823636
29.1686584148	-1.58369511056
29.1761184297	-1.57420415113
29.1856129942	-1.56426119491
29.1948814976	-1.55477014729
29.2032457568	-1.54663492965
29.2109318328	-1.53827370123
29.2165833592	-1.53194626334
29.2226870078	-1.52652273028
29.2256258016	-1.52381095861
> -L"1960ft"
28.6567996624	-2.48261655492
28.6593993646	-2.47245331629
28.6638075552	-2.46014440086
28.6708154481	-2.4471578073
28.6764669745	-2.43812358103
28.6800839515	-2.42739535856
28.6808751652	-2.40831020519
28.6820054705	-2.39724295223
28.6833618368	-2.39012824232
28.6857354779	-2.37928670873
28.687883058	-2.36923562748
28.687883058	-2.35319891996
28.6847182032	-2.34314765
28.6803100125	-2.33614559906
28.6781624325	-2.32993407304
28.6766930356	-2.32146376613
28.6774842493	-2.31344516215
28.6786145546	-2.30384536538
28.6796318293	-2.29876309381
28.6808751652	-2.29368080415
28.6835878979	-2.28566204375
28.6870918443	-2.2800150025
28.6870918443	-2.2800150025
28.6971515614	-2.27052792335
28.7040464237	-2.26149255195
28.7089067365	-2.25087591868
28.7137670492	-2.24296986493
28.7190794841	-2.23461199022
28.7215661558	-2.22851297053
28.7240528274	-2.22083268758
28.7260873769	-2.21518539523
28.7285740486	-2.20919924184
28.7302695065	-2.20422958672
28.730382537	-2.19553265037
28.7310607202	-2.19090179347
28.7324170866	-2.18288247084
28.7351298193	-2.17542785087
28.7393119489	-2.16944153846
28.7456416585	-2.16311635243
28.7518583376	-2.15317672112
28.757283803	-2.14301112205
28.7622571463	-2.13544335446
28.7698301918	-2.12618125983
28.7736732298	-2.12019475444
28.7766120236	-2.11353050423
28.7770641457	-2.10957712193
> -L"100ft"
28.7567186504	-2.22128447004
28.7637265432	-2.21145817049
28.770508375	-2.20242243529
28.7786465731	-2.19293485436
28.7876890154	-2.18367311019
28.7971835799	-2.17441130892
28.8049826864	-2.16695664709
28.8136860372	-2.16051850052
28.8218242353	-2.15487098105
28.8280409144	-2.15148245931
> -L"500ft"
28.8740443399	-2.31152520798
28.8715576683	-2.29955367058
28.8696361493	-2.28984083998
28.8672625081	-2.28216088079
28.8651149281	-2.27278675738
28.8640976533	-2.26442905384
28.8657931113	-2.24579346046
28.8654540197	-2.23608026895
28.8639846228	-2.22704468424
28.862741287	-2.21959028512
28.8616109817	-2.21168406316
28.8604806764	-2.20005054571
28.8587852184	-2.1921442199
28.8577679437	-2.18920757395
> -L"574ft"
28.7837329469	-2.44749658961
28.7846371912	-2.44162435092
28.7857674964	-2.43371937371
28.7859935575	-2.42513677455
28.7864456796	-2.41181105223
28.7872368933	-2.40401883204
28.7889323513	-2.39249981639
28.7906278092	-2.38188416727
28.7925493282	-2.36991323076
28.7933405419	-2.36415359232
> -L"700ft"
28.7141626561	-2.49628034139
28.7511236392	-2.47250977894
28.7566621351	-2.46844446185
28.7613529021	-2.46460498429
28.7645742722	-2.46076549565
> -L"50ft"
28.6643161926	-2.64070111409
28.6609252767	-2.63065203886
28.6596819409	-2.6215061809
28.6602470936	-2.61597346892
28.662055582	-2.60411757542
28.6628467957	-2.59011618611
28.6631858873	-2.56245169655
28.6638640705	-2.55612830048
28.6643161926	-2.55115989599
28.6649943758	-2.54438476804
28.6661246811	-2.53783544384
